run_at,n_rows,n_races,n_folds,mean_ndcg1,std_ndcg1,mean_hit_rate,std_hit_rate,final_num_round
2026-09-20T15:07:55.967206+09:00,12618,2103,5,0.6926,0.0288,0.5711,0.0383,22
2026-09-20T23:39:59.310460+09:00,13104,2184,5,0.6906,0.0232,0.5709,0.0319,25
2026-09-21T23:42:29.297124+09:00,13812,2302,5,0.6921,0.0257,0.5721,0.0316,35
2026-09-22T13:49:11.335443+09:00,14214,2369,5,0.6959,0.0161,0.5758,0.0252,37
2026-09-22T23:44:26.466933+09:00,14760,2460,5,0.6905,0.0142,0.5691,0.0238,32
2026-09-23T10:35:52.008928+09:00,14808,2468,5,0.6922,0.0151,0.5737,0.0227,18
2026-09-23T10:54:53.891339+09:00,14820,2470,5,0.6914,0.0163,0.5717,0.0244,27
2026-09-23T12:11:17.684214+09:00,14976,2496,5,0.6956,0.0162,0.5769,0.0249,53
2026-09-23T12:28:04.747803+09:00,14976,2496,5,0.6956,0.0162,0.5769,0.0249,53
2026-09-23T13:01:10.429040+09:00,15030,2505,5,0.6938,0.0161,0.5749,0.0248,32
2026-09-23T13:53:15.073454+09:00,15150,2525,5,0.6901,0.0187,0.5711,0.0284,28
2026-09-23T14:37:03.706368+09:00,15198,2533,5,0.6896,0.016,0.5697,0.0238,19
2026-09-23T15:28:44.913749+09:00,15312,2552,5,0.6908,0.0184,0.5713,0.0255,47
2026-09-23T16:34:10.135232+09:00,15426,2571,5,0.6905,0.0152,0.5721,0.0211,31
2026-09-23T17:36:39.972643+09:00,15534,2589,5,0.6895,0.0155,0.5713,0.0209,28
2026-09-23T18:16:02.259343+09:00,15588,2598,5,0.6946,0.0139,0.5781,0.023,23
2026-09-23T20:07:44.864022+09:00,15612,2602,5,0.6923,0.0173,0.5742,0.026,17
2026-09-23T23:43:25.111821+09:00,15696,2616,5,0.6947,0.0177,0.5745,0.0278,21
2026-09-24T15:10:12.200590+09:00,16230,2705,5,0.6928,0.02,0.5741,0.0263,31
2026-09-24T20:27:08.407323+09:00,16596,2766,5,0.6971,0.0154,0.5766,0.0248,39
2026-09-24T21:42:53.565846+09:00,16632,2772,5,0.6933,0.0196,0.5747,0.0287,19
2026-09-24T23:44:14.561586+09:00,16632,2772,5,0.6933,0.0196,0.5747,0.0287,19
2026-09-25T18:15:00.245654+09:00,17388,2898,5,0.6895,0.0205,0.5725,0.0251,18
